state,date,value
AL,1984-01-01,17310.0
AL,1985-01-01,18330.0
AL,1986-01-01,19130.0
AL,1987-01-01,19730.0
AL,1988-01-01,19950.0
AL,1989-01-01,21280.0
AL,1990-01-01,23360.0
AL,1991-01-01,24350.0
AL,1992-01-01,25810.0
AL,1993-01-01,25080.0
AL,1994-01-01,27200.0
AL,1995-01-01,25990.0
AL,1996-01-01,30300.0
AL,1997-01-01,31940.0
AL,1998-01-01,36270.0
AL,1999-01-01,36250.0
AL,2000-01-01,35420.0
AL,2001-01-01,35160.0
AL,2002-01-01,37600.0
AL,2003-01-01,37260.0
AL,2004-01-01,36630.0
AL,2005-01-01,37150.0
AL,2006-01-01,37950.0
AL,2007-01-01,42210.0
AL,2008-01-01,44480.0
AL,2009-01-01,39980.0
AL,2010-01-01,40930.0
AL,2011-01-01,42590.0
AL,2012-01-01,43460.0
AL,2013-01-01,47320.0
AL,2014-01-01,42280.0
AL,2015-01-01,44510.0
AL,2016-01-01,47220.0
AL,2017-01-01,50870.0
AL,2018-01-01,49940.0
AL,2019-01-01,56200.0
AL,2020-01-01,54690.0
AL,2021-01-01,56930.0
AL,2022-01-01,59910.0
AL,2023-01-01,60660.0
AL,2024-01-01,65560.0
AK,1984-01-01,32360.0
AK,1985-01-01,34780.0
AK,1986-01-01,31360.0
AK,1987-01-01,33230.0
AK,1988-01-01,33100.0
AK,1989-01-01,36010.0
AK,1990-01-01,39300.0
AK,1991-01-01,40610.0
AK,1992-01-01,41800.0
AK,1993-01-01,42930.0
AK,1994-01-01,45370.0
AK,1995-01-01,47950.0
AK,1996-01-01,52780.0
AK,1997-01-01,47990.0
AK,1998-01-01,50690.0
AK,1999-01-01,51400.0
AK,2000-01-01,52850.0
AK,2001-01-01,57360.0
AK,2002-01-01,52770.0
AK,2003-01-01,51840.0
AK,2004-01-01,55060.0
AK,2005-01-01,55890.0
AK,2006-01-01,56420.0
AK,2007-01-01,62990.0
AK,2008-01-01,63990.0
AK,2009-01-01,61600.0
AK,2010-01-01,57850.0
AK,2011-01-01,57430.0
AK,2012-01-01,63650.0
AK,2013-01-01,72470.0
AK,2014-01-01,67630.0
AK,2015-01-01,75110.0
AK,2016-01-01,75720.0
AK,2017-01-01,77990.0
AK,2018-01-01,68730.0
AK,2019-01-01,78390.0
AK,2020-01-01,74750.0
AK,2021-01-01,81130.0
AK,2022-01-01,89740.0
AK,2023-01-01,98190.0
AK,2024-01-01,91260.0
AZ,1984-01-01,21430.0
AZ,1985-01-01,23880.0
AZ,1986-01-01,25500.0
AZ,1987-01-01,26750.0
AZ,1988-01-01,26440.0
AZ,1989-01-01,28550.0
AZ,1990-01-01,29220.0
AZ,1991-01-01,30740.0
AZ,1992-01-01,29360.0
AZ,1993-01-01,30510.0
AZ,1994-01-01,31290.0
AZ,1995-01-01,30860.0
AZ,1996-01-01,31640.0
AZ,1997-01-01,32740.0
AZ,1998-01-01,37090.0
AZ,1999-01-01,37000.0
AZ,2000-01-01,39780.0
AZ,2001-01-01,42700.0
AZ,2002-01-01,39730.0
AZ,2003-01-01,41170.0
AZ,2004-01-01,43850.0
AZ,2005-01-01,45250.0
AZ,2006-01-01,46660.0
AZ,2007-01-01,47220.0
AZ,2008-01-01,46910.0
AZ,2009-01-01,45740.0
AZ,2010-01-01,46900.0
AZ,2011-01-01,48620.0
AZ,2012-01-01,47040.0
AZ,2013-01-01,52610.0
AZ,2014-01-01,49250.0
AZ,2015-01-01,52250.0
AZ,2016-01-01,57100.0
AZ,2017-01-01,59700.0
AZ,2018-01-01,62280.0
AZ,2019-01-01,70670.0
AZ,2020-01-01,67090.0
AZ,2021-01-01,70820.0
AZ,2022-01-01,73450.0
AZ,2023-01-01,82660.0
AZ,2024-01-01,84700.0
AR,1984-01-01,15670.0
AR,1985-01-01,17450.0
AR,1986-01-01,18730.0
AR,1987-01-01,18830.0
AR,1988-01-01,20170.0
AR,1989-01-01,21430.0
AR,1990-01-01,22790.0
AR,1991-01-01,23440.0
AR,1992-01-01,23880.0
AR,1993-01-01,23040.0
AR,1994-01-01,25570.0
AR,1995-01-01,25810.0
AR,1996-01-01,27120.0
AR,1997-01-01,26160.0
AR,1998-01-01,27670.0
AR,1999-01-01,29680.0
AR,2000-01-01,29700.0
AR,2001-01-01,33340.0
AR,2002-01-01,32390.0
AR,2003-01-01,32000.0
AR,2004-01-01,34980.0
AR,2005-01-01,36660.0
AR,2006-01-01,37060.0
AR,2007-01-01,40800.0
AR,2008-01-01,39590.0
AR,2009-01-01,36540.0
AR,2010-01-01,38590.0
AR,2011-01-01,41300.0
AR,2012-01-01,39020.0
AR,2013-01-01,39380.0
AR,2014-01-01,44920.0
AR,2015-01-01,42800.0
AR,2016-01-01,45910.0
AR,2017-01-01,49750.0
AR,2018-01-01,49780.0
AR,2019-01-01,54540.0
AR,2020-01-01,50780.0
AR,2021-01-01,50780.0
AR,2022-01-01,53980.0
AR,2023-01-01,63250.0
AR,2024-01-01,64840.0
CA,1984-01-01,25290.0
CA,1985-01-01,26980.0
CA,1986-01-01,29010.0
CA,1987-01-01,30150.0
CA,1988-01-01,30290.0
CA,1989-01-01,33010.0
CA,1990-01-01,33290.0
CA,1991-01-01,33660.0
CA,1992-01-01,34900.0
CA,1993-01-01,34070.0
CA,1994-01-01,35330.0
CA,1995-01-01,37010.0
CA,1996-01-01,38810.0
CA,1997-01-01,39690.0
CA,1998-01-01,40930.0
CA,1999-01-01,43630.0
CA,2000-01-01,46820.0
CA,2001-01-01,47260.0
CA,2002-01-01,47440.0
CA,2003-01-01,49300.0
CA,2004-01-01,49220.0
CA,2005-01-01,51760.0
CA,2006-01-01,55320.0
CA,2007-01-01,55730.0
CA,2008-01-01,57010.0
CA,2009-01-01,56130.0
CA,2010-01-01,54280.0
CA,2011-01-01,53370.0
CA,2012-01-01,57020.0
CA,2013-01-01,60790.0
CA,2014-01-01,60490.0
CA,2015-01-01,63640.0
CA,2016-01-01,66640.0
CA,2017-01-01,70040.0
CA,2018-01-01,70490.0
CA,2019-01-01,78100.0
CA,2020-01-01,77650.0
CA,2021-01-01,81580.0
CA,2022-01-01,85300.0
CA,2023-01-01,89870.0
CA,2024-01-01,100600.0
CO,1984-01-01,25800.0
CO,1985-01-01,28180.0
CO,1986-01-01,27190.0
CO,1987-01-01,26480.0
CO,1988-01-01,26210.0
CO,1989-01-01,26810.0
CO,1990-01-01,30730.0
CO,1991-01-01,31500.0
CO,1992-01-01,32480.0
CO,1993-01-01,34490.0
CO,1994-01-01,37830.0
CO,1995-01-01,40710.0
CO,1996-01-01,40950.0
CO,1997-01-01,43230.0
CO,1998-01-01,46600.0
CO,1999-01-01,48180.0
CO,2000-01-01,48240.0
CO,2001-01-01,49400.0
CO,2002-01-01,48290.0
CO,2003-01-01,49940.0
CO,2004-01-01,50890.0
CO,2005-01-01,50450.0
CO,2006-01-01,55700.0
CO,2007-01-01,61140.0
CO,2008-01-01,60940.0
CO,2009-01-01,55930.0
CO,2010-01-01,60230.0
CO,2011-01-01,58630.0
CO,2012-01-01,57260.0
CO,2013-01-01,67910.0
CO,2014-01-01,60940.0
CO,2015-01-01,66600.0
CO,2016-01-01,70570.0
CO,2017-01-01,74980.0
CO,2018-01-01,73030.0
CO,2019-01-01,72500.0
CO,2020-01-01,83780.0
CO,2021-01-01,84950.0
CO,2022-01-01,89930.0
CO,2023-01-01,96640.0
CO,2024-01-01,106500.0
CT,1984-01-01,29950.0
CT,1985-01-01,31090.0
CT,1986-01-01,32720.0
CT,1987-01-01,32860.0
CT,1988-01-01,36210.0
CT,1989-01-01,42320.0
CT,1990-01-01,38870.0
CT,1991-01-01,42150.0
CT,1992-01-01,40840.0
CT,1993-01-01,39520.0
CT,1994-01-01,41100.0
CT,1995-01-01,40240.0
CT,1996-01-01,42120.0
CT,1997-01-01,43990.0
CT,1998-01-01,46510.0
CT,1999-01-01,50590.0
CT,2000-01-01,50170.0
CT,2001-01-01,53350.0
CT,2002-01-01,53390.0
CT,2003-01-01,54970.0
CT,2004-01-01,55100.0
CT,2005-01-01,56840.0
CT,2006-01-01,62400.0
CT,2007-01-01,64140.0
CT,2008-01-01,64680.0
CT,2009-01-01,64850.0
CT,2010-01-01,66000.0
CT,2011-01-01,65420.0
CT,2012-01-01,64250.0
CT,2013-01-01,69290.0
CT,2014-01-01,70160.0
CT,2015-01-01,72890.0
CT,2016-01-01,75920.0
CT,2017-01-01,74300.0
CT,2018-01-01,72810.0
CT,2019-01-01,87290.0
CT,2020-01-01,79430.0
CT,2021-01-01,80960.0
CT,2022-01-01,90730.0
CT,2023-01-01,92240.0
CT,2024-01-01,99240.0
DE,1984-01-01,25820.0
DE,1985-01-01,22980.0
DE,1986-01-01,25630.0
DE,1987-01-01,29240.0
DE,1988-01-01,30510.0
DE,1989-01-01,32070.0
DE,1990-01-01,30800.0
DE,1991-01-01,32590.0
DE,1992-01-01,35680.0
DE,1993-01-01,36060.0
DE,1994-01-01,35870.0
DE,1995-01-01,34930.0
DE,1996-01-01,39310.0
DE,1997-01-01,43030.0
DE,1998-01-01,41460.0
DE,1999-01-01,46630.0
DE,2000-01-01,50370.0
DE,2001-01-01,49600.0
DE,2002-01-01,49650.0
DE,2003-01-01,49020.0
DE,2004-01-01,48050.0
DE,2005-01-01,51240.0
DE,2006-01-01,52440.0
DE,2007-01-01,54590.0
DE,2008-01-01,50700.0
DE,2009-01-01,52110.0
DE,2010-01-01,55210.0
DE,2011-01-01,54660.0
DE,2012-01-01,48970.0
DE,2013-01-01,54090.0
DE,2014-01-01,57520.0
DE,2015-01-01,57760.0
DE,2016-01-01,58050.0
DE,2017-01-01,64960.0
DE,2018-01-01,65010.0
DE,2019-01-01,74190.0
DE,2020-01-01,70020.0
DE,2021-01-01,68690.0
DE,2022-01-01,80750.0
DE,2023-01-01,86340.0
DE,2024-01-01,85860.0
FL,1984-01-01,19790.0
FL,1985-01-01,21340.0
FL,1986-01-01,22850.0
FL,1987-01-01,24490.0
FL,1988-01-01,25410.0
FL,1989-01-01,26090.0
FL,1990-01-01,26690.0
FL,1991-01-01,27250.0
FL,1992-01-01,27350.0
FL,1993-01-01,28550.0
FL,1994-01-01,29290.0
FL,1995-01-01,29750.0
FL,1996-01-01,30640.0
FL,1997-01-01,32460.0
FL,1998-01-01,34910.0
FL,1999-01-01,35830.0
FL,2000-01-01,38860.0
FL,2001-01-01,36420.0
FL,2002-01-01,38020.0
FL,2003-01-01,38970.0
FL,2004-01-01,40540.0
FL,2005-01-01,42990.0
FL,2006-01-01,45680.0
FL,2007-01-01,45790.0
FL,2008-01-01,44860.0
FL,2009-01-01,45630.0
FL,2010-01-01,44070.0
FL,2011-01-01,45110.0
FL,2012-01-01,46070.0
FL,2013-01-01,48530.0
FL,2014-01-01,46140.0
FL,2015-01-01,48830.0
FL,2016-01-01,51180.0
FL,2017-01-01,53090.0
FL,2018-01-01,54640.0
FL,2019-01-01,58370.0
FL,2020-01-01,57760.0
FL,2021-01-01,59730.0
FL,2022-01-01,65370.0
FL,2023-01-01,72200.0
FL,2024-01-01,75630.0
GA,1984-01-01,19980.0
GA,1985-01-01,21050.0
GA,1986-01-01,24370.0
GA,1987-01-01,26710.0
GA,1988-01-01,26570.0
GA,1989-01-01,27540.0
GA,1990-01-01,27560.0
GA,1991-01-01,27210.0
GA,1992-01-01,28800.0
GA,1993-01-01,31660.0
GA,1994-01-01,31470.0
GA,1995-01-01,34100.0
GA,1996-01-01,32500.0
GA,1997-01-01,36660.0
GA,1998-01-01,38670.0
GA,1999-01-01,39430.0
GA,2000-01-01,41900.0
GA,2001-01-01,42580.0
GA,2002-01-01,42940.0
GA,2003-01-01,42440.0
GA,2004-01-01,40980.0
GA,2005-01-01,45930.0
GA,2006-01-01,49340.0
GA,2007-01-01,48640.0
GA,2008-01-01,46230.0
GA,2009-01-01,43340.0
GA,2010-01-01,44120.0
GA,2011-01-01,45970.0
GA,2012-01-01,48120.0
GA,2013-01-01,46990.0
GA,2014-01-01,49560.0
GA,2015-01-01,50770.0
GA,2016-01-01,53530.0
GA,2017-01-01,57990.0
GA,2018-01-01,55820.0
GA,2019-01-01,56630.0
GA,2020-01-01,59270.0
GA,2021-01-01,61500.0
GA,2022-01-01,67730.0
GA,2023-01-01,72420.0
GA,2024-01-01,81210.0
HI,1984-01-01,28880.0
HI,1985-01-01,28960.0
HI,1986-01-01,29000.0
HI,1987-01-01,35020.0
HI,1988-01-01,33020.0
HI,1989-01-01,35040.0
HI,1990-01-01,38920.0
HI,1991-01-01,37250.0
HI,1992-01-01,42110.0
HI,1993-01-01,42660.0
HI,1994-01-01,42260.0
HI,1995-01-01,42850.0
HI,1996-01-01,41770.0
HI,1997-01-01,40930.0
HI,1998-01-01,40830.0
HI,1999-01-01,44500.0
HI,2000-01-01,51550.0
HI,2001-01-01,47440.0
HI,2002-01-01,47300.0
HI,2003-01-01,51830.0
HI,2004-01-01,56240.0
HI,2005-01-01,59590.0
HI,2006-01-01,60470.0
HI,2007-01-01,64020.0
HI,2008-01-01,61520.0
HI,2009-01-01,55650.0
HI,2010-01-01,59540.0
HI,2011-01-01,59050.0
HI,2012-01-01,56260.0
HI,2013-01-01,64240.0
HI,2014-01-01,71220.0
HI,2015-01-01,64510.0
HI,2016-01-01,72130.0
HI,2017-01-01,73600.0
HI,2018-01-01,80110.0
HI,2019-01-01,88010.0
HI,2020-01-01,80830.0
HI,2021-01-01,82200.0
HI,2022-01-01,91010.0
HI,2023-01-01,97360.0
HI,2024-01-01,98240.0
ID,1984-01-01,21090.0
ID,1985-01-01,20760.0
ID,1986-01-01,20750.0
ID,1987-01-01,20760.0
ID,1988-01-01,23450.0
ID,1989-01-01,24650.0
ID,1990-01-01,25310.0
ID,1991-01-01,26120.0
ID,1992-01-01,27700.0
ID,1993-01-01,31010.0
ID,1994-01-01,31540.0
ID,1995-01-01,32680.0
ID,1996-01-01,34710.0
ID,1997-01-01,33400.0
ID,1998-01-01,36680.0
ID,1999-01-01,35800.0
ID,2000-01-01,37610.0
ID,2001-01-01,38240.0
ID,2002-01-01,37720.0
ID,2003-01-01,42370.0
ID,2004-01-01,44360.0
ID,2005-01-01,44180.0
ID,2006-01-01,46210.0
ID,2007-01-01,49180.0
ID,2008-01-01,47420.0
ID,2009-01-01,46780.0
ID,2010-01-01,47050.0
ID,2011-01-01,47460.0
ID,2012-01-01,47920.0
ID,2013-01-01,48470.0
ID,2014-01-01,53440.0
ID,2015-01-01,51620.0
ID,2016-01-01,56560.0
ID,2017-01-01,59500.0
ID,2018-01-01,58730.0
ID,2019-01-01,65990.0
ID,2020-01-01,66730.0
ID,2021-01-01,76920.0
ID,2022-01-01,72580.0
ID,2023-01-01,73910.0
ID,2024-01-01,81650.0
IL,1984-01-01,23750.0
IL,1985-01-01,24870.0
IL,1986-01-01,26510.0
IL,1987-01-01,27080.0
IL,1988-01-01,29520.0
IL,1989-01-01,31300.0
IL,1990-01-01,32540.0
IL,1991-01-01,31880.0
IL,1992-01-01,31550.0
IL,1993-01-01,32860.0
IL,1994-01-01,35080.0
IL,1995-01-01,38070.0
IL,1996-01-01,39550.0
IL,1997-01-01,41280.0
IL,1998-01-01,43180.0
IL,1999-01-01,46330.0
IL,2000-01-01,46060.0
IL,2001-01-01,46170.0
IL,2002-01-01,42710.0
IL,2003-01-01,45150.0
IL,2004-01-01,46080.0
IL,2005-01-01,48400.0
IL,2006-01-01,48670.0
IL,2007-01-01,52510.0
IL,2008-01-01,53250.0
IL,2009-01-01,52870.0
IL,2010-01-01,50730.0
IL,2011-01-01,50640.0
IL,2012-01-01,51740.0
IL,2013-01-01,53940.0
IL,2014-01-01,54920.0
IL,2015-01-01,60410.0
IL,2016-01-01,61390.0
IL,2017-01-01,65970.0
IL,2018-01-01,70150.0
IL,2019-01-01,74400.0
IL,2020-01-01,74330.0
IL,2021-01-01,79250.0
IL,2022-01-01,78020.0
IL,2023-01-01,87820.0
IL,2024-01-01,84210.0
IN,1984-01-01,22770.0
IN,1985-01-01,22680.0
IN,1986-01-01,22730.0
IN,1987-01-01,22520.0
IN,1988-01-01,26290.0
IN,1989-01-01,25900.0
IN,1990-01-01,26930.0
IN,1991-01-01,27090.0
IN,1992-01-01,28530.0
IN,1993-01-01,29480.0
IN,1994-01-01,27860.0
IN,1995-01-01,33390.0
IN,1996-01-01,35150.0
IN,1997-01-01,38890.0
IN,1998-01-01,39730.0
IN,1999-01-01,40840.0
IN,2000-01-01,40870.0
IN,2001-01-01,40380.0
IN,2002-01-01,41050.0
IN,2003-01-01,42430.0
IN,2004-01-01,42330.0
IN,2005-01-01,42440.0
IN,2006-01-01,45410.0
IN,2007-01-01,47450.0
IN,2008-01-01,46520.0
IN,2009-01-01,44310.0
IN,2010-01-01,46140.0
IN,2011-01-01,44450.0
IN,2012-01-01,46160.0
IN,2013-01-01,49460.0
IN,2014-01-01,48060.0
IN,2015-01-01,51980.0
IN,2016-01-01,56090.0
IN,2017-01-01,58770.0
IN,2018-01-01,59890.0
IN,2019-01-01,66690.0
IN,2020-01-01,66810.0
IN,2021-01-01,70190.0
IN,2022-01-01,70030.0
IN,2023-01-01,76910.0
IN,2024-01-01,76710.0
IA,1984-01-01,19860.0
IA,1985-01-01,20930.0
IA,1986-01-01,22460.0
IA,1987-01-01,22190.0
IA,1988-01-01,24310.0
IA,1989-01-01,26270.0
IA,1990-01-01,27290.0
IA,1991-01-01,28550.0
IA,1992-01-01,28740.0
IA,1993-01-01,28660.0
IA,1994-01-01,33080.0
IA,1995-01-01,35520.0
IA,1996-01-01,33210.0
IA,1997-01-01,33780.0
IA,1998-01-01,37020.0
IA,1999-01-01,41100.0
IA,2000-01-01,40990.0
IA,2001-01-01,40980.0
IA,2002-01-01,41050.0
IA,2003-01-01,41380.0
IA,2004-01-01,43390.0
IA,2005-01-01,46500.0
IA,2006-01-01,48130.0
IA,2007-01-01,48910.0
IA,2008-01-01,50140.0
IA,2009-01-01,50720.0
IA,2010-01-01,49020.0
IA,2011-01-01,50220.0
IA,2012-01-01,53440.0
IA,2013-01-01,60160.0
IA,2014-01-01,57810.0
IA,2015-01-01,60860.0
IA,2016-01-01,59090.0
IA,2017-01-01,63470.0
IA,2018-01-01,68720.0
IA,2019-01-01,66050.0
IA,2020-01-01,68820.0
IA,2021-01-01,72430.0
IA,2022-01-01,76320.0
IA,2023-01-01,80860.0
IA,2024-01-01,85480.0
KS,1984-01-01,24630.0
KS,1985-01-01,22790.0
KS,1986-01-01,23930.0
KS,1987-01-01,25580.0
KS,1988-01-01,25570.0
KS,1989-01-01,26860.0
KS,1990-01-01,29920.0
KS,1991-01-01,29300.0
KS,1992-01-01,30350.0
KS,1993-01-01,29770.0
KS,1994-01-01,28320.0
KS,1995-01-01,30340.0
KS,1996-01-01,32590.0
KS,1997-01-01,36470.0
KS,1998-01-01,36710.0
KS,1999-01-01,37350.0
KS,2000-01-01,41060.0
KS,2001-01-01,41420.0
KS,2002-01-01,42620.0
KS,2003-01-01,44230.0
KS,2004-01-01,41070.0
KS,2005-01-01,42030.0
KS,2006-01-01,45550.0
KS,2007-01-01,48500.0
KS,2008-01-01,47880.0
KS,2009-01-01,44720.0
KS,2010-01-01,46050.0
KS,2011-01-01,46150.0
KS,2012-01-01,50000.0
KS,2013-01-01,47820.0
KS,2014-01-01,53440.0
KS,2015-01-01,54870.0
KS,2016-01-01,56810.0
KS,2017-01-01,56900.0
KS,2018-01-01,63940.0
KS,2019-01-01,73150.0
KS,2020-01-01,73080.0
KS,2021-01-01,75980.0
KS,2022-01-01,73040.0
KS,2023-01-01,84830.0
KS,2024-01-01,87690.0
KY,1984-01-01,17680.0
KY,1985-01-01,17360.0
KY,1986-01-01,19870.0
KY,1987-01-01,20670.0
KY,1988-01-01,19910.0
KY,1989-01-01,23280.0
KY,1990-01-01,24780.0
KY,1991-01-01,23760.0
KY,1992-01-01,23490.0
KY,1993-01-01,24380.0
KY,1994-01-01,26600.0
KY,1995-01-01,29810.0
KY,1996-01-01,32410.0
KY,1997-01-01,33450.0
KY,1998-01-01,36250.0
KY,1999-01-01,33740.0
KY,2000-01-01,36270.0
KY,2001-01-01,38440.0
KY,2002-01-01,36760.0
KY,2003-01-01,36940.0
KY,2004-01-01,35610.0
KY,2005-01-01,36700.0
KY,2006-01-01,39490.0
KY,2007-01-01,39450.0
KY,2008-01-01,41150.0
KY,2009-01-01,42660.0
